proteins	genes	gene_name	kcat	rxns	notes	stoicho
P00401 + Q01519 + P32799 + P00410 + P00420 + P04037 + P00427 + P10174 + P04039 + P07255 + P00425	Q0045 and YLR038C and YGL191W and Q0250 and Q0275 and YGL187C and YHR051W and YMR256C and YLR395C and YDL067C and YIL111W	COX1 and COX12 and COX13 and COX2 and COX3 and COX4 and COX6 and COX7 and COX8 and COX9 and COX5B	693.5		MANUAL_CURATION; GECKO v2 manual_data.txt	1 + 1 + 1 + 1 + 1 + 1 + 1 + 1 + 2 + 1 + 1
P20967 + P19262 + P09624	YIL125W and YDR148C and YFL018C	KGD1 and KGD2 and LPD1	27.8		MANUAL_CURATION; GECKO v2 manual_data.txt	1 + 1 + 1
P16387 + P32473	YER178W and YBR221C	PDA1 and PDB2	83.3		MANUAL_CURATION; GECKO v2 manual_data.txt	2 + 2
P16861 + P16862	YGR240C and YMR205C	PFK1 and PFK2	642.0		MANUAL_CURATION; GECKO v2 manual_data.txt	1 + 1
P00127 + P00128 + P00163 + P07143 + P07256 + P07257 + P08067 + P08525 + P22289 + P37299	YFR033C and YDR529C and Q0105 and YOR065W and YBL045C and YPR191W and YEL024W and YJL166W and YGR183C and YHR001W-A	QCR6 and QCR7 and COB and CYT1 and COR1 and QRC2 and RIP1 and QRC8 and QRC9 and QRC10	220.0		MANUAL_CURATION; GECKO v2 manual_data.txt	2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2 + 2
Q00711 + P21801	YKL148C and YLL041C	SDH1 and SDH2	219.3		MANUAL_CURATION; GECKO v2 manual_data.txt	1 + 1
P37298 + P33421	YDR178W and YKL141W	SDH4 and SDH3	219.3		MANUAL_CURATION; GECKO v2 manual_data.txt	1 + 1
P06168	YLR355C	ILV5	18.3		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P12683	YML075C	HMG1	20.8		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P12684	YLR450W	HMG2	20.8		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P00360	YJL052W	TDH1	29.0		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P00358	YJR009C	TDH2	16.7		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P00359	YGR192C	TDH3	9.1		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P06169	YLR044C	PDC1	145.0		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
Q00955	YNR016C	ACC1	25.0		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
P52867	YDL093W	PMT5	70.9		MANUAL_CURATION; GECKO v2 manualModifications.m growth limiting	1
